,index,estado_ibge,admitidos/desligados,total_desempregados
0,1,11,Desligado,191574
1,3,12,Desligado,103541
2,5,13,Desligado,471104
3,7,14,Desligado,86672
4,9,15,Desligado,408985
5,11,16,Desligado,90822
6,13,17,Desligado,162436
7,15,21,Desligado,408282
8,17,22,Desligado,116350
9,19,23,Desligado,390664
10,21,24,Desligado,170858
11,23,25,Desligado,123547
12,25,26,Desligado,748583
13,27,27,Desligado,287409
14,29,28,Desligado,118588
15,31,29,Desligado,1082044
16,33,31,Desligado,1662454
17,35,32,Desligado,247593
18,37,33,Desligado,1498971
19,39,35,Desligado,4491903
20,41,41,Desligado,934684
21,43,42,Desligado,594610
22,45,43,Desligado,672553
23,47,50,Desligado,392744
24,49,51,Desligado,417153
25,51,52,Desligado,622657
26,53,53,Desligado,700501
