,CD_GEOCUF,Sigla_UF,ano,populacao
0,12,AC,2010,734447
1,27,AL,2010,3231840
2,16,AM,2010,3604160
3,13,AP,2010,686189
4,29,BA,2010,14768300
5,23,CE,2010,8569780
6,53,DF,2010,2602070
7,32,ES,2010,3697240
8,52,GO,2010,6155270
9,21,MA,2010,6603880
10,31,MG,2010,20134700
11,50,MS,2010,2486260
12,51,MT,2010,3049350
13,15,PA,2010,7638340
14,25,PB,2010,3819240
15,26,PE,2010,8985660
16,22,PI,2010,3142950
17,41,PR,2010,10729000
18,33,RJ,2010,16074000
19,24,RN,2010,3264650
20,11,RO,2010,1663490
21,14,RR,2010,460678
22,43,RS,2010,11019000
23,42,SC,2010,6351420
24,28,SE,2010,2120050
25,35,SP,2010,42486700
26,17,TO,2010,1419100
27,12,AC,2011,748616
28,27,AL,2011,3256280
29,16,AM,2011,3672970
30,13,AP,2011,702638
31,29,BA,2011,14865400
32,23,CE,2011,8642630
33,53,DF,2011,2664440
34,32,ES,2011,3745580
35,52,GO,2011,6250460
36,21,MA,2011,6670980
37,31,MG,2011,20294500
38,50,MS,2011,2520300
39,51,MT,2011,3094550
40,15,PA,2011,7751990
41,25,PB,2011,3852080
42,26,PE,2011,9062510
43,22,PI,2011,3158000
44,41,PR,2011,10820400
45,33,RJ,2011,16175500
46,24,RN,2011,3302060
47,11,RO,2011,1685700
48,14,RR,2011,469943
49,43,RS,2011,11069900
50,42,SC,2011,6446210
51,28,SE,2011,2145940
52,35,SP,2011,42888200
53,17,TO,2011,1439280
54,12,AC,2012,762631
55,27,AL,2012,3279290
56,16,AM,2012,3740980
57,13,AP,2012,718906
58,29,BA,2012,1495720
59,23,CE,2012,8712410
60,53,DF,2012,2727100
61,32,ES,2012,3792870
62,52,GO,2012,6343140
63,21,MA,2012,6734350
64,31,MG,2012,20446800
65,50,MS,2012,2554130
66,51,MT,2012,3138820
67,15,PA,2012,7862330
68,25,PB,2012,3883820
69,26,PE,2012,9136700
70,22,PI,2012,3171460
71,41,PR,2012,10910400
72,33,RJ,2012,16274000
73,24,RN,2012,3338490
74,11,RO,2012,1707270
75,14,RR,2012,479073
76,43,RS,2012,11118300
77,42,SC,2012,6540600
78,28,SE,2012,2171140
79,35,SP,2012,43281400
80,17,TO,2012,1458960
81,12,AC,2013,776463
82,27,AL,2013,3300940
83,16,AM,2013,3807920
84,13,AP,2013,734996
85,29,BA,2013,15044100
86,23,CE,2013,8779340
87,53,DF,2013,2789760
88,32,ES,2013,3839370
89,52,GO,2013,6434050
90,21,MA,2013,6794300
91,31,MG,2013,20593400
92,50,MS,2013,2587270
93,51,MT,2013,3182110
94,15,PA,2013,7969650
95,25,PB,2013,3914420
96,26,PE,2013,9208550
97,22,PI,2013,3183400
98,41,PR,2013,10997500
99,33,RJ,2013,16369200
100,24,RN,2013,3373960
101,11,RO,2013,1728210
102,14,RR,2013,488072
103,43,RS,2013,11164000
104,42,SC,2013,6634250
105,28,SE,2013,2195660
106,35,SP,2013,43663700
107,17,TO,2013,1478160
108,12,AC,2014,790101
109,27,AL,2014,3321300
110,16,AM,2014,3873740
111,13,AP,2014,750912
112,29,BA,2014,15126400
113,23,CE,2014,8843550
114,53,DF,2014,2852370
115,32,ES,2014,3885050
116,52,GO,2014,6523220
117,21,MA,2014,6850880
118,31,MG,2014,20734100
119,50,MS,2014,2619660
120,51,MT,2014,3224360
121,15,PA,2014,8073920
122,25,PB,2014,3943880
123,26,PE,2014,9278150
124,22,PI,2014,3193960
125,41,PR,2014,11081700
126,33,RJ,2014,16461200
127,24,RN,2014,3408510
128,11,RO,2014,1748530
129,14,RR,2014,496936
130,43,RS,2014,11207300
131,42,SC,2014,6727150
132,28,SE,2014,2219570
133,35,SP,2014,44035300
134,17,TO,2014,1496880
